,Period,Detailed Forecast
0,Tonight,"Partly cloudy, with a low around 73. South wind around 10 mph."
1,Tuesday,"A 30 percent chance of showers and thunderstorms, mainly after 4pm.  Partly sunny, with a high near 81. South wind 10 to 15 mph, with gusts as high as 22 mph."
2,Tuesday Night,"A 30 percent chance of showers and thunderstorms, mainly before 7pm.  Mostly cloudy, with a low around 66. Southwest wind 9 to 11 mph becoming northwest after midnight."
3,Wednesday,"Partly sunny, with a high near 73. North wind around 15 mph, with gusts as high as 20 mph."
4,Wednesday Night,"Mostly cloudy, with a low around 66. East wind 10 to 14 mph, with gusts as high as 18 mph."
5,Thursday,"A 30 percent chance of showers and thunderstorms, mainly after 1pm.  Mostly cloudy, with a high near 77. East wind around 11 mph."
6,Thursday Night,"Mostly cloudy, with a low around 70. Southeast wind 7 to 10 mph becoming southwest after midnight."
7,Friday,"Mostly cloudy, with a high near 80. West wind 8 to 11 mph."
8,Friday Night,"Mostly cloudy, with a low around 63. Northwest wind 10 to 13 mph, with gusts as high as 20 mph."
9,Saturday,"Partly sunny, with a high near 72. Breezy."
10,Saturday Night,"Mostly cloudy, with a low around 60. Breezy."
11,Sunday,"Mostly cloudy, with a high near 71. Breezy."
12,Sunday Night,"Mostly cloudy, with a low around 66. Windy."
13,Monday,"Mostly cloudy, with a high near 73. Windy."
